algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
BLAKE3,1,17,0.000007,0.000030,0.000009
BLAKE3,1,18,0.000007,0.000035,0.000009
BLAKE3,1,19,0.000007,0.000040,0.000009
BLAKE3,1,20,0.000004,0.000035,0.000019
BLAKE3,1,21,0.000007,0.000031,0.000009
BLAKE3,1,22,0.000007,0.000032,0.000009
BLAKE3,1,23,0.000007,0.000035,0.000009
BLAKE3,1,24,0.000007,0.000035,0.000009
BLAKE3,1,25,0.000007,0.000035,0.000009
BLAKE3,1,26,0.000007,0.000035,0.000009
BLAKE3,1,27,0.000004,0.000042,0.000014
BLAKE3,1,28,0.000007,0.000031,0.000009
BLAKE3,1,29,0.000005,0.000032,0.000013
BLAKE3,1,30,0.000007,0.000031,0.000009
BLAKE3,1,31,0.000007,0.000031,0.000009
BLAKE3,10,1,0.000019,0.000052,0.000011
BLAKE3,10,2,0.000010,0.000041,0.000010
BLAKE3,10,3,0.000010,0.000044,0.000010
BLAKE3,10,4,0.000010,0.000036,0.000010
BLAKE3,10,5,0.000010,0.000036,0.000010
BLAKE3,10,6,0.000010,0.000036,0.000009
BLAKE3,10,7,0.000010,0.000045,0.000011
BLAKE3,10,8,0.000010,0.000040,0.000010
